#: table_doi: 10.17182/hepdata.37092.v1/t3
#: name: Table 3
#: description: X ERROR D(THETA)     = 0.9300 DEG.

#: data_file: Table3.yaml
#: keyword reactions: E- O16 --> O16 E- | E- NUCLEUS --> E- O16
#: keyword observables: DSIG/DOMEGA
#: keyword phrases: Exclusive | Single Differential Cross Section | Electron production
#: A,16.0
#: E [MEV],374.500 +-  0.100 PCT
#: RE,E- O16 --> O16 E-
"THETA(P=3,RF=LAB) [DEG]","D(SIG)/D(OMEGA(P=3,RF=CM)) [MB/SR]",error +,error -,"sys,DUE TO THE UNCERTAINTY OF THE ABSOLUTE HYDROGEN EROSS SECTION +","sys,DUE TO THE UNCERTAINTY OF THE ABSOLUTE HYDROGEN EROSS SECTION -"
32.0,0.0198,0.0004,-0.0004,3.0%,-3.0%
33.0,0.0143,0.00032,-0.00032,3.0%,-3.0%
34.0,0.0103,0.0002,-0.0002,3.0%,-3.0%
36.0,0.00521,0.00011,-0.00011,3.0%,-3.0%
38.0,0.0025,5.5e-05,-5.5e-05,3.0%,-3.0%
40.0,0.00111,2.3e-05,-2.3e-05,3.0%,-3.0%
42.0,0.000456,1.5e-05,-1.5e-05,3.0%,-3.0%
44.0,0.000177,5.6e-06,-5.6e-06,3.0%,-3.0%
46.0,0.000582,1.8e-06,-1.8e-06,3.0%,-3.0%
46.0,5.6e-05,1.8e-06,-1.8e-06,3.0%,-3.0%
47.0,2.97e-05,9e-07,-9e-07,3.0%,-3.0%
48.0,1.46e-05,4.5e-07,-4.5e-07,3.0%,-3.0%
48.0,1.41e-05,4.5e-07,-4.5e-07,3.0%,-3.0%
49.0,7.64e-06,3.2e-07,-3.2e-07,3.0%,-3.0%
49.0,7.56e-06,2e-07,-2e-07,3.0%,-3.0%
50.0,5.6e-06,2.3e-07,-2.3e-07,3.0%,-3.0%
50.0,5.67e-06,1.7e-07,-1.7e-07,3.0%,-3.0%
51.0,6.15e-06,2e-07,-2e-07,3.0%,-3.0%
52.0,7.75e-06,3.2e-07,-3.2e-07,3.0%,-3.0%
52.0,7.9e-06,2e-07,-2e-07,3.0%,-3.0%
53.0,1e-05,4e-07,-4e-07,3.0%,-3.0%
54.0,1.2e-05,4.8e-07,-4.8e-07,3.0%,-3.0%
56.0,1.47e-05,5e-07,-5e-07,3.0%,-3.0%
58.0,1.54e-05,4e-07,-4e-07,3.0%,-3.0%
60.0,1.43e-05,5e-07,-5e-07,3.0%,-3.0%
62.0,1.25e-05,4.5e-07,-4.5e-07,3.0%,-3.0%
64.0,1e-05,4e-07,-4e-07,3.0%,-3.0%
66.0,8.35e-06,3.4e-07,-3.4e-07,3.0%,-3.0%
68.0,6.37e-06,3e-07,-3e-07,3.0%,-3.0%
69.0,5.68e-06,2e-07,-2e-07,3.0%,-3.0%
70.0,5.07e-06,2e-07,-2e-07,3.0%,-3.0%
71.0,4.23e-06,2e-07,-2e-07,3.0%,-3.0%
72.0,3.34e-06,1.6e-07,-1.6e-07,3.0%,-3.0%
74.0,2.68e-06,1.2e-07,-1.2e-07,3.0%,-3.0%
76.0,1.73e-06,9e-08,-9e-08,3.0%,-3.0%
78.0,1.23e-06,8e-08,-8e-08,3.0%,-3.0%
80.0,8e-07,6e-08,-6e-08,3.0%,-3.0%
82.0,5.6e-07,3.5e-08,-3.5e-08,3.0%,-3.0%

