#: table_doi: 10.17182/hepdata.37092.v1/t4
#: name: Table 4
#: description: X ERROR D(THETA) = 0.9300 DEG.

#: data_file: Table4.yaml
#: keyword reactions: E- O16 --> O16 E- | E- NUCLEUS --> E- O16
#: keyword observables: DSIG/DOMEGA
#: keyword phrases: Exclusive | Single Differential Cross Section | Electron production
#: A,16.0
#: E [MEV],750.000 +-  0.100 PCT
#: RE,E- O16 --> O16 E-
"THETA(P=3,RF=LAB) [DEG]","D(SIG)/D(OMEGA(P=3,RF=CM)) [MB/SR]",error +,error -,"sys,DUE TO THE UNCERTAINTY OF THE ABSOLUTE HYDROGEN EROSS SECTION +","sys,DUE TO THE UNCERTAINTY OF THE ABSOLUTE HYDROGEN EROSS SECTION -"
33.0,3.15e-05,1e-06,-1e-06,3.0%,-3.0%
35.0,1.59e-05,5e-07,-5e-07,3.0%,-3.0%
37.0,6.9e-06,2.1e-07,-2.1e-07,3.0%,-3.0%
39.0,2.55e-06,1.1e-07,-1.1e-07,3.0%,-3.0%
41.0,7.8e-07,4.5e-08,-4.5e-08,3.0%,-3.0%
43.0,2.27e-07,1.3e-08,-1.3e-08,3.0%,-3.0%
45.0,4.5e-08,3e-09,-3e-09,3.0%,-3.0%
47.0,6e-09,1e-09,-1e-09,3.0%,-3.0%
48.0,5e-09,1e-09,-1e-09,3.0%,-3.0%
49.0,5e-09,1e-09,-1e-09,3.0%,-3.0%
50.0,7e-09,1e-09,-1e-09,3.0%,-3.0%
51.0,5e-09,1e-09,-1e-09,3.0%,-3.0%
53.0,6e-09,1e-09,-1e-09,3.0%,-3.0%
55.0,4e-09,1e-09,-1e-09,3.0%,-3.0%
56.0,3e-09,1e-09,-1e-09,3.0%,-3.0%
57.0,2e-09,0.0,-0.0,3.0%,-3.0%
58.0,4e-09,1e-09,-1e-09,3.0%,-3.0%
60.0,1e-09,0.0,-0.0,3.0%,-3.0%
62.0,0.0,0.0,-0.0,3.0%,-3.0%

