Parent_Nuclide,,,,Daughter_Nuclide,,,,,
ElementP,ZP,NP,AP,ElementD,ZD,ND,AD,r0,unc_r0
Te,52,54,106,Sn,50,52,102,1.684,49
,52,56,108,,50,54,104,1.660,13
Xe,54,54,108,Te,52,52,104,1.65,19
,54,56,110,,52,54,106,1.655,47
,54,58,112,,52,56,108,1.671,75
Ba,56,58,114,Xe,54,56,110,1.700,47
Nd,60,84,144,Ce,58,82,140,1.5986,81
Sm,62,84,146,Nd,60,82,142,1.5930,74
,62,86,148,,60,84,144,1.586,12
Gd,64,84,148,Sm,62,82,144,1.5695,23
,64,86,150,,62,84,146,1.5748,86
,64,88,152,,62,86,148,1.5741,45
Dy,66,84,150,Gd,64,82,146,1.5616,12
,66,86,152,,64,84,148,1.5796,54
,66,88,154,,64,86,150,1.541,36
Er,68,84,152,Dy,66,82,148,1.5667,27
,68,86,154,,66,84,150,1.550,16
,68,88,156,,66,86,152,1.541,26
Yb,70,84,154,Er,68,82,150,1.5574,12
,70,86,156,,68,84,152,1.596,12
,70,88,158,,68,86,154,1.529,41
Hf,72,84,156,Yb,70,82,152,1.5532,31
,72,86,158,,70,84,154,1.5614,31
,72,88,160,,70,86,156,1.549,16
,72,90,162,,70,88,158,1.5842,77
,72,102, 174,,70,100,170,1.4833,91
W,74,84,158,Hf,72,82,154,1.557,10
,74,86,160,,72,84,156,1.5562,63
,74,88,162,,72,86,158,1.5710,61
,74,90,164,,72,88,160,1.565,19
,74,92,166,,72,90,162,1.516,21
,74,94,168,,72,92,164,1.580,35
Os,76,86,162,W,74,84,158,1.5597,29
,76,88,164,,74,86,160,1.5477,44
,76,90,166,,74,88,162,1.5663,32
,76,92,168,,74,90,164,1.5642,59
,76,94,170,,74,92,166,1.5611,60
,76,96,172,,74,94,168,1.583,13
,76,98,174,,74,96,170,1.540,34
,76,110,186,,74,108,182,1.486,29
Pt,78,88,166,Os,76,86,162,1.554,17
,78,90,168,,76,88,164,1.5568,29
,78,92,170,,76,90,166,1.5636,19
,78,94,172,,76,92,168,1.5578,40
,78,96,174,,76,94,170,1.5551,32
,78,98,176,,76,96,172,1.5597,42
,78,100,178,,76,98,174,1.5708,31
,78,102,180,,76,100,176,1.5468,62
,78,104,182,,76,102,178,1.5539,68
,78,106,184,,76,104,180,1.542,27
,78,108,186,,76,106,182,1.536,30
,78,110,188,,76,108,184,1.4648,74
,78,112,190,,76,110,186,1.4651,16
Hg,80,90,170,Pt,78,88,166,1.526,64
,80,92,172,,78,90,168,1.5567,30
,80,94,174,,78,92,170,1.548,12
,80,96,176,,78,94,172,1.5457,75
,80,98,178,,78,96,174,1.5409,29
,80,100,180,,78,98,176,1.5324,24
Hg,80,102,182,Pt,78,100,178,1.5176,41
,80,104,184,,78,102,180,1.5120,81
,80,106,186,,78,104,182,1.500,17
,80,108,188,,78,106,184,1.480,15
Pb,82,96,178,Hg,80,94,174,1.545,35
,82,98,180,,80,96,176,1.5184,43
,82,100,182,,80,98,178,1.5093,64
,82,102,184,,80,100,180,1.504,11
,82,104,186,,80,102,182,1.486,10
,82,106,188,,80,104,184,1.4885,32
,82,108,190,,80,106,186,1.4923,55
,82,110,192,,80,108,188,1.5005,86
,82,112,194,,80,110,190,1.437,24
,82,128,210,,80,126,206,1.449,21
Po,84,102,186,Pb,82,100,182,1.488,19
,84,104,188,,82,102,184,1.4868,76
,84,106,190,,82,104,186,1.5114,26
,84,108,192,,82,106,188,1.5137,13
,84,110,194,,82,108,190,1.5113,39
,84,112,196,,82,110,192,1.5126,28
,84,114,198,,82,112,194,1.4962,19
,84,116,200,,82,114,196,1.4803,16
,84,118,202,,82,116,198,1.4720,20
,84,120,204,,82,118,200,1.4625,22
,84,122,206,,82,120,202,1.4547,10
,84,124,208,,82,122,204,1.42967,74
,84,126,210,,82,124,206,1.408790,38
,84,128,212,,82,126,208,1.52177,18
,84,130,214,,82,128,210,1.539616,24
,84,132,216,,82,130,212,1.54117,28
,84,134,218,,82,132,214,1.53788,19
Rn,86,108,194,Po,84,106,190,1.590,11
,86,110,196,,84,108,192,1.585,15
,86,112,198,,84,110,194,1.5455,27
,86,114,200,,84,112,196,1.5205,93
,86,116,202,,84,114,198,1.5106,49
,86,118,204,,84,116,200,1.5026,13
,86,120,206,,84,118,202,1.4917,27
,86,122,208,,84,120,204,1.4755,52
,86,124,210,,84,122,206,1.4568,22
,86,126,212,,84,124,208,1.4343,25
,86,128,214,,84,126,210,1.5340,25
,86,130,216,,84,128,212,1.5658,59
,86,132,218,,84,130,214,1.56062,74
