#: table_doi: 10.17182/hepdata.37092.v1/t1
#: name: Table 1
#: description: X ERROR D(TARGET)  =  99.99 PCT. X ERROR D(THETA)     = 0.9300 DEG.

#: data_file: Table1.yaml
#: keyword reactions: E- C12 --> C12 E- | E- NUCLEUS --> C12 E-
#: keyword observables: DSIG/DOMEGA
#: keyword phrases: Exclusive | Single Differential Cross Section | Electron production
#: A,12.0
#: E [MEV],374.500 +-  0.100 PCT
#: RE,E- C12 --> C12 E-
"THETA(P=3,RF=LAB) [DEG]","D(SIG)/D(OMEGA(P=3,RF=CM)) [MB/SR]",error +,error -,"sys,DUE TO THE UNCERTAINTY OF THE ABSOLUTE HYDROGEN EROSS SECTION +","sys,DUE TO THE UNCERTAINTY OF THE ABSOLUTE HYDROGEN EROSS SECTION -"
32.0,0.0204,0.0006,-0.0006,3.0%,-3.0%
34.0,0.0116,0.0003,-0.0003,3.0%,-3.0%
36.0,0.0065,0.0002,-0.0002,3.0%,-3.0%
38.0,0.00365,0.0001,-0.0001,3.0%,-3.0%
40.0,0.002,6e-05,-6e-05,3.0%,-3.0%
42.0,0.00108,3e-05,-3e-05,3.0%,-3.0%
44.0,0.000568,1.6e-05,-1.6e-05,3.0%,-3.0%
46.0,0.00027,8e-06,-8e-06,3.0%,-3.0%
48.0,0.000217,4e-06,-4e-06,3.0%,-3.0%
50.0,5.5e-05,1.7e-06,-1.7e-06,3.0%,-3.0%
52.0,2.16e-05,7e-07,-7e-07,3.0%,-3.0%
54.0,6.6e-06,2e-07,-2e-07,3.0%,-3.0%
55.0,3.55e-06,1.2e-07,-1.2e-07,3.0%,-3.0%
55.0,3.7e-06,1.2e-07,-1.2e-07,3.0%,-3.0%
56.0,1.69e-06,6e-08,-6e-08,3.0%,-3.0%
57.0,8.85e-07,4e-08,-4e-08,3.0%,-3.0%
57.0,9.35e-07,4e-08,-4e-08,3.0%,-3.0%
58.0,7.33e-07,3.5e-08,-3.5e-08,3.0%,-3.0%
58.0,7.3e-07,2.7e-08,-2.7e-08,3.0%,-3.0%
59.0,7.8e-07,3.5e-08,-3.5e-08,3.0%,-3.0%
59.0,8.8e-07,3.8e-08,-3.8e-08,3.0%,-3.0%
60.0,1.13e-06,4e-08,-4e-08,3.0%,-3.0%
60.0,1.15e-06,4.4e-08,-4.4e-08,3.0%,-3.0%
62.0,1.79e-06,7e-08,-7e-08,3.0%,-3.0%
62.0,1.76e-06,6e-08,-6e-08,3.0%,-3.0%
64.0,2.27e-06,9e-08,-9e-08,3.0%,-3.0%
66.0,2.51e-06,9e-08,-9e-08,3.0%,-3.0%
66.0,2.6e-06,8e-08,-8e-08,3.0%,-3.0%
68.0,2.52e-06,9e-08,-9e-08,3.0%,-3.0%
70.0,2.4e-06,9e-08,-9e-08,3.0%,-3.0%
72.0,2.09e-06,9e-08,-9e-08,3.0%,-3.0%
74.0,1.8e-06,9e-08,-9e-08,3.0%,-3.0%
76.0,1.49e-06,7.5e-08,-7.5e-08,3.0%,-3.0%
80.0,9.4e-07,5e-08,-5e-08,3.0%,-3.0%
84.0,5.6e-07,3e-08,-3e-08,3.0%,-3.0%
88.0,3.2e-07,1.8e-08,-1.8e-08,3.0%,-3.0%
92.0,1.84e-07,1.2e-08,-1.2e-08,3.0%,-3.0%
96.0,9.7e-08,7e-09,-7e-09,3.0%,-3.0%

