#: table_doi: 10.17182/hepdata.37092.v1/t2
#: name: Table 2
#: description: X ERROR D(TARGET)   =  99.99 PCT. X ERROR D(THETA) = 0.9300 DEG.

#: data_file: Table2.yaml
#: keyword reactions: E- C12 --> C12 E- | E- NUCLEUS --> C12 E-
#: keyword observables: DSIG/DOMEGA
#: keyword phrases: Exclusive | Single Differential Cross Section | Electron production
#: A,12.0
#: E [MEV],747.200 +-  0.100 PCT
#: RE,E- C12 --> C12 E-
"THETA(P=3,RF=LAB) [DEG]","D(SIG)/D(OMEGA(P=3,RF=CM)) [MB/SR]",error +,error -,"sys,DUE TO THE UNCERTAINTY OF THE ABSOLUTE HYDROGEN EROSS SECTION +","sys,DUE TO THE UNCERTAINTY OF THE ABSOLUTE HYDROGEN EROSS SECTION -"
32.08,1.26e-05,3.6e-07,-3.6e-07,3.0%,-3.0%
34.08,1.14e-05,3.6e-07,-3.6e-07,3.0%,-3.0%
36.08,7.75e-06,2.6e-07,-2.6e-07,3.0%,-3.0%
38.08,4.63e-06,1.6e-07,-1.6e-07,3.0%,-3.0%
40.08,2.6e-06,9e-08,-9e-08,3.0%,-3.0%
42.08,1.27e-06,4.3e-08,-4.3e-08,3.0%,-3.0%
44.08,5.62e-07,2.1e-08,-2.1e-08,3.0%,-3.0%
46.08,2.38e-07,8e-09,-8e-09,3.0%,-3.0%
48.08,9.5e-08,4e-09,-4e-09,3.0%,-3.0%
50.08,3.5e-08,2e-09,-2e-09,3.0%,-3.0%
52.08,1.1e-08,1e-09,-1e-09,3.0%,-3.0%
53.08,6e-09,1e-09,-1e-09,3.0%,-3.0%
54.08,4e-09,1e-09,-1e-09,3.0%,-3.0%
56.08,1e-09,0.0,-0.0,3.0%,-3.0%
58.08,0.0,0.0,-0.0,3.0%,-3.0%

